Healthy	Unhealthy	Background_Blue	Background_Dark
73,130,51	121,107,81	59,137,203	11,11,11
48,108,22	128,111,93	45,100,154	12,12,14
46,108,23	119,103,80	44,101,154	12,12,12
44,108,22	109,91,67	44,101,154	13,15,14
68,130,44	140,118,81	57,151,212	11,13,12
70,132,46	140,122,84	61,154,213	11,11,11
72,131,47	137,125,87	68,157,215	10,12,11
56,118,32	149,124,94	91,158,213	7,13,9
56,116,30	139,115,81	85,154,213	10,12,9
53,113,27	131,105,70	80,150,212	12,13,8
62,119,25	77,79,58	67,135,206	9,14,18
62,122,26	80,77,60	71,139,210	11,14,19
63,125,26	80,77,62	74,142,213	12,15,20
65,127,42	101,92,87	63,137,212	52,55,44
65,127,42	103,89,88	66,140,215	47,50,39
67,131,45	100,84,84	65,138,215	39,45,31
49,104,21	119,106,87	49,136,203	10,11,15
50,104,20	122,110,88	49,136,205	11,10,15
52,105,23	127,112,91	47,131,201	11,10,15
64,127,48	122,105,87	104,171,239	4,9,12
71,132,54	117,101,78	101,170,239	4,8,11
74,135,57	108,90,66	79,153,224	4,8,11
48,110,25	142,118,84	60,150,213	21,21,19
47,109,24	142,122,87	62,151,217	21,21,19
47,109,24	139,125,88	56,145,211	21,21,21
69,132,43	145,120,89	70,141,219	11,11,13
69,128,44	136,112,76	69,143,218	11,11,11
75,134,52	132,106,69	70,144,219	11,11,11
51,113,27	66,70,45	65,147,221	12,12,14
53,113,27	70,69,49	65,149,221	11,11,11
54,114,28	71,68,51	64,147,217	11,13,12
63,120,26	101,90,86	75,140,206	10,12,11
60,120,24	106,92,89	69,138,205	11,11,11
60,122,23	105,89,89	63,136,205	9,11,10
66,128,43	126,115,97	64,152,216	7,13,9
70,132,49	127,116,98	67,155,219	10,12,9
71,135,49	129,118,100	69,154,218	12,11,7
51,106,23	115,98,80	72,144,220	8,13,17
51,105,21	115,99,76	79,153,228	10,13,18
52,105,23	115,99,74	77,151,226	11,14,19
63,126,47	199,175,77	69,148,217	52,55,44
70,131,53	197,173,75	69,146,214	48,52,37
74,135,57	196,172,74	69,147,213	42,46,29
48,110,25	206,189,119	71,140,209	10,11,15
47,109,24	208,190,118	66,136,206	10,11,15
46,108,23	208,188,117	61,135,208	11,10,16
69,132,43	210,194,116	64,152,216	6,10,13
71,130,46	210,194,116	72,156,218	5,9,12
76,135,53	211,195,117	86,168,228	4,8,11
111,167,76	155,137,53	76,145,220	18,18,16
109,169,79	154,136,52	84,156,230	18,18,16
108,168,78	152,134,50	73,147,222	19,19,19
104,159,76	210,187,145	81,155,220	11,11,13
103,158,77	209,185,141	83,153,215	11,11,11
103,158,77	204,181,137	81,149,210	11,11,11
101,156,75	222,207,140	67,137,207	13,11,12
101,156,75	221,206,139	61,135,208	12,10,11
98,156,72	221,206,137	57,133,208	11,11,11
83,147,51	202,178,80	58,130,212	12,12,10
83,148,48	201,177,81	62,135,212	12,12,14
90,154,57	200,175,82	69,141,215	10,11,13
83,144,64	202,185,113	67,143,218	8,13,9
81,143,60	205,187,113	62,140,214	10,10,8
83,145,62	207,187,114	60,140,213	13,9,6
66,127,34	209,193,115	59,109,172	8,13,17
63,128,36	211,195,117	61,112,175	8,11,16
57,122,32	211,195,117	66,117,180	10,13,18
88,150,64	154,136,52	99,172,225	12,12,12
92,151,67	153,135,49	105,180,235	12,11,9
94,153,69	152,134,50	87,162,219	11,10,8
111,167,76	209,186,144	51,139,203	14,12,15
107,166,74	210,186,142	50,138,202	15,13,14
109,168,76	209,185,141	49,137,201	16,14,15
102,160,76	223,208,141	52,139,206	11,10,15
102,160,76	222,207,140	60,144,206	10,9,14
104,159,76	221,206,137	72,152,211	9,8,13
103,158,77	204,181,85	59,131,213	16,15,20
97,155,71	205,182,86	59,132,209	13,12,17
93,151,66	203,180,86	61,133,207	14,12,17
83,147,51	201,183,107	70,142,216	9,7,8
88,150,53	204,185,109	66,143,215	9,7,8
92,153,58	207,185,110	63,141,213	9,9,9
81,143,58	207,192,111	58,106,168	15,13,14
82,144,61	209,194,113	61,111,174	15,13,16
86,148,65	209,194,113	61,112,175	15,13,16
65,125,35	154,134,48	104,177,232	11,11,11
60,125,31	154,134,48	102,175,230	11,11,9
58,123,31	153,133,47	87,162,220	11,11,9
89,151,66	206,185,140	55,143,207	9,13,12
87,151,67	208,187,140	57,145,209	9,11,10
89,151,68	211,187,143	55,143,207	8,10,9
115,170,79	223,208,141	57,142,209	13,13,13
111,170,78	223,208,141	66,147,210	13,12,10
110,169,77	222,207,138	73,153,212	13,12,10
101,159,75	195,175,88	60,131,211	14,12,15
102,160,76	197,176,87	66,137,215	14,12,13
105,160,77	199,179,92	73,142,217	15,13,14
106,161,80	211,195,107	71,143,215	11,10,15
100,158,74	208,192,107	69,143,214	9,8,13
95,153,68	206,191,108	65,142,212	8,7,12
84,148,52	209,201,138	59,104,161	15,14,19
88,150,53	212,204,142	59,109,168	13,12,17
91,152,57	215,206,147	58,109,172	16,14,19
78,140,55	206,192,131	86,157,213	8,6,9
82,144,61	201,186,121	83,155,213	8,6,9
91,153,70	202,185,115	74,153,212	7,7,9
64,124,34	213,195,131	57,145,209	14,12,13
59,124,30	212,194,130	59,149,212	15,13,16
57,122,30	212,194,132	58,148,210	16,14,17
92,154,69	174,182,45	59,144,209	9,9,9
86,149,68	174,184,51	67,149,209	10,10,8
86,147,67	176,185,56	76,155,214	11,11,9
98,162,66	195,175,86	61,98,187	8,12,11
104,163,71	197,176,85	53,90,181	8,10,9
110,166,75	197,177,88	51,88,177	8,10,9
90,151,74	211,195,108	62,107,210	12,17,13
90,151,74	209,192,110	60,108,210	14,16,13
89,150,72	208,193,112	59,108,210	15,17,14
90,142,67	209,201,138	51,84,179	13,11,14
90,144,68	211,203,141	63,90,181	13,11,14
91,145,69	213,204,145	57,87,175	14,12,13
94,152,68	208,196,136	103,141,224	11,10,15
93,151,66	200,186,123	90,131,219	9,8,13
94,152,68	206,191,124	79,124,215	8,7,12
78,146,35	213,195,131	75,121,219	13,13,15
77,145,32	213,195,131	70,118,216	15,13,16
80,148,37	212,194,132	68,116,216	15,13,16
63,135,33	173,180,48	58,95,184	8,6,7
63,136,31	174,183,54	51,88,179	6,6,6
63,134,28	177,186,59	52,89,178	6,8,7
99,160,65	196,175,82	62,110,212	13,13,15
105,166,73	197,176,83	61,108,212	15,13,16
100,159,65	198,179,85	57,106,209	17,15,18
88,149,71	213,197,112	50,83,178	8,8,8
91,149,72	212,195,113	59,86,177	9,9,9
90,148,71	212,196,118	61,91,179	10,10,10
92,144,70	212,205,137	102,140,221	8,10,9
93,145,71	212,204,139	91,132,220	7,9,8
94,146,72	212,202,140	81,125,214	8,10,9
95,150,67	206,196,137	77,123,219	7,7,7
95,150,67	210,199,137	72,120,218	6,6,6
94,152,68	219,206,138	69,117,217	5,6,8
77,145,34	212,193,127	54,91,179	9,9,9
77,145,34	214,196,130	50,87,175	10,10,10
80,148,39	214,196,130	52,89,177	11,11,11
64,137,30	172,179,47	64,113,215	6,5,11
66,139,32	173,182,53	60,112,214	5,6,11
65,138,31	175,184,59	54,106,208	4,7,12
96,157,62	208,188,135	55,88,183	13,8,12
99,160,67	212,192,139	64,91,182	13,9,10
94,153,59	216,196,145	74,104,192	14,10,11
88,149,71	212,196,109	97,136,215	9,9,11
91,149,72	210,195,104	92,134,218	10,8,9
90,148,71	206,193,101	86,127,215	8,8,6
92,144,70	199,185,86	80,125,218	14,14,16
93,145,71	197,183,84	78,124,220	13,13,15
95,147,73	198,184,87	73,118,219	12,12,14
97,152,71	213,201,141	61,98,187	14,14,14
95,150,67	214,202,142	60,100,188	13,13,13
94,152,68	214,202,144	58,98,186	13,13,13
80,146,36	131,99,60	68,115,203	6,7,9
80,146,36	134,101,60	72,120,205	7,9,8
82,148,40	135,102,61	76,122,208	8,10,9
64,137,30	113,83,45	72,112,208	15,12,7
66,139,32	114,84,46	77,117,212	15,10,7
65,138,31	113,85,48	80,120,216	19,14,11
77,139,56	207,187,136	69,112,216	22,17,13
80,139,59	211,191,140	73,118,219	21,16,13
78,140,55	214,194,144	73,121,221	18,14,11
60,128,29	212,196,109	103,141,226	7,7,7
58,125,28	210,195,104	121,157,241	6,6,6
55,122,25	208,193,100	111,149,234	5,7,6
90,157,62	202,188,89	70,116,212	10,10,10
92,157,63	200,186,87	68,112,209	10,10,10
91,156,64	199,185,88	70,112,210	10,10,10
86,150,54	212,200,140	66,103,192	6,7,11
88,152,58	213,201,143	63,103,191	3,6,11
93,154,59	213,201,143	59,99,187	4,7,12
54,118,24	126,94,55	68,115,203	9,9,9
60,120,30	129,96,55	72,120,205	7,7,7
65,125,35	130,97,56	74,120,206	7,7,7
65,138,33	111,81,43	79,119,217	9,9,11
69,139,41	112,82,44	81,121,216	9,9,9
76,145,52	111,83,46	85,125,221	9,9,9
72,130,53	209,187,137	66,109,213	16,14,15
70,129,49	212,190,141	71,116,217	15,15,15
68,127,45	213,193,143	70,118,218	14,14,14
80,139,57	212,196,108	108,144,228	15,15,13
81,140,60	213,196,106	113,150,231	14,14,14
85,144,62	212,195,103	111,149,232	13,13,13
56,127,25	203,188,87	72,118,214	4,8,9
54,124,25	201,186,85	77,121,216	6,7,9
54,124,25	198,184,87	83,126,221	7,8,10
96,161,69	216,204,146	68,106,191	12,11,7
98,161,70	214,202,144	67,107,194	13,12,10
99,164,74	210,197,142	66,106,193	15,14,10
87,151,54	121,87,49	65,115,204	21,16,12
92,153,58	124,89,51	69,116,204	21,16,13
92,153,58	126,91,51	68,115,203	19,14,11
50,115,21	113,81,43	83,123,219	7,7,7
56,120,26	110,80,44	86,126,222	5,5,5
57,122,28	106,76,40	88,128,224	4,6,5
65,138,33	119,105,34	64,107,211	10,10,10
70,140,42	118,103,34	64,109,210	10,10,10
73,140,47	117,104,34	68,116,214	9,9,9
71,132,52	132,105,62	92,133,215	5,6,10
72,131,49	133,106,61	96,134,215	4,7,12
68,130,44	135,106,62	96,133,214	6,9,14
84,143,63	216,201,160	72,118,212	10,10,10
87,145,68	212,197,154	81,126,219	8,8,8
94,153,73	216,195,152	89,132,226	7,7,7
56,127,25	219,207,125	124,163,228	10,9,14
54,124,25	225,210,129	95,134,201	10,10,12
55,125,26	224,211,132	89,129,201	10,10,10
100,163,74	202,188,100	86,127,193	18,16,17
99,162,73	203,189,101	77,117,187	16,16,16
101,163,77	202,191,102	70,110,182	15,15,15
89,153,56	211,199,141	77,117,212	16,16,14
94,154,58	211,196,137	66,106,202	14,14,14
94,153,59	208,193,126	57,97,195	13,13,13
53,117,23	215,197,125	71,116,219	4,8,9
53,118,24	213,195,121	71,115,220	6,7,9
54,119,25	212,193,116	70,113,217	6,7,9
66,138,36	125,106,37	79,108,188	12,11,7
68,138,40	123,106,37	77,104,185	14,13,11
71,138,45	122,105,36	76,103,184	16,15,11
75,137,54	134,107,64	83,114,204	20,15,11
73,132,50	135,108,65	83,117,207	20,15,12
69,131,45	136,107,65	79,116,207	19,14,11
79,139,51	217,202,163	41,64,144	8,7,12
87,145,61	220,205,164	36,61,143	10,8,13
89,148,64	219,197,156	35,60,142	12,10,15
64,122,38	221,209,127	133,171,233	8,9,11
66,123,44	225,210,129	120,155,219	8,7,13
67,124,45	224,211,132	101,138,209	6,7,12
102,163,60	201,187,98	121,159,221	22,21,17
100,161,57	202,188,99	106,144,209	26,25,21
98,159,55	201,190,100	91,130,197	29,28,24
90,157,52	211,199,141	73,113,208	9,12,17
88,157,50	212,197,138	64,104,202	8,11,16
85,157,47	209,194,127	57,96,197	7,10,15
92,152,64	216,197,128	72,115,219	7,7,9
93,153,67	213,195,121	75,118,223	7,7,9
90,150,62	211,192,115	74,117,221	9,7,10
90,150,62	130,111,42	68,96,179	6,6,8
90,150,62	128,109,40	69,96,177	6,6,6
89,151,65	125,108,39	72,99,180	7,7,7
98,152,74	134,110,66	78,109,202	11,11,11
95,149,73	136,109,66	77,110,203	11,9,12
92,149,72	136,109,66	72,108,202	10,9,7
79,139,53	221,207,168	43,66,146	4,8,11
87,144,63	219,206,164	38,63,145	4,8,11
92,149,68	219,202,159	37,62,146	4,8,11
64,119,38	223,211,129	151,187,247	8,10,9
66,120,42	224,212,130	153,185,246	10,10,12
68,122,46	224,211,132	120,154,225	12,12,14
100,162,55	202,187,94	144,181,236	8,7,12
97,159,50	202,187,94	133,171,233	4,8,11
101,160,52	202,189,95	123,163,225	4,8,11
92,159,53	212,197,140	66,106,202	21,20,16
88,157,50	213,197,138	61,101,199	24,23,19
86,158,50	210,195,130	59,98,201	26,25,21
89,149,59	215,198,128	75,117,219	9,10,14
88,151,62	212,194,120	81,124,226	8,11,16
88,151,60	211,192,113	74,117,221	7,10,15
92,152,64	157,154,101	63,96,177	7,6,11
91,154,65	156,153,100	68,97,177	7,7,9
93,156,67	156,153,100	72,99,178	7,7,9
98,153,72	206,197,118	71,104,199	4,5,7
94,148,70	206,197,118	72,108,202	6,6,6
97,151,73	207,198,119	67,106,201	7,7,7
80,138,53	210,195,112	43,70,151	12,12,10
87,142,61	212,197,116	41,67,151	11,10,8
91,148,67	215,198,118	38,66,149	11,10,8
65,120,39	173,149,85	71,105,192	3,6,11
67,121,46	186,164,107	68,102,191	6,7,11
68,122,47	200,177,127	65,100,190	6,7,11
100,162,55	131,92,59	67,112,203	8,9,11
98,160,51	133,95,56	71,115,202	10,9,14
101,160,52	135,97,52	91,133,215	12,11,16
92,159,53	221,209,137	53,80,169	7,6,12
89,158,51	222,210,138	62,89,176	4,8,11
87,159,51	225,211,138	65,93,176	4,8,11
87,147,57	193,192,99	50,68,142	20,19,15
86,149,60	191,190,97	47,67,140	23,22,18
86,149,58	193,192,99	48,68,141	24,23,19
96,156,68	155,152,99	41,62,141	9,10,14
97,160,71	157,154,101	35,58,136	7,10,15
96,159,70	156,153,100	34,57,137	7,10,15
97,152,71	204,196,115	49,70,125	7,6,11
96,150,72	204,196,115	53,74,129	6,6,8
99,153,75	206,197,118	54,75,128	5,5,7
101,161,71	211,196,113	78,110,197	5,6,8
106,161,78	213,198,117	74,105,195	7,7,7
106,159,77	214,197,117	68,102,192	8,8,8
102,163,86	176,148,83	67,112,205	12,12,10
106,164,88	185,158,103	73,117,206	12,11,9
110,168,92	197,171,122	88,130,214	12,11,9
93,156,65	129,91,55	55,82,171	3,6,11
96,156,66	129,94,54	65,92,179	6,7,11
95,156,63	134,97,52	67,95,178	6,7,11
76,134,49	220,208,136	44,62,136	8,7,12
74,129,45	219,207,135	42,62,135	8,8,10
74,130,43	221,207,134	37,57,130	7,7,9
84,146,47	191,190,97	42,63,142	7,9,8
82,147,47	189,188,95	36,59,137	9,9,9
83,147,50	194,193,100	33,56,136	10,10,10
66,134,21	155,154,98	48,69,122	4,8,9
64,132,21	157,156,100	51,72,125	4,8,9
62,130,21	158,156,99	51,72,125	4,8,9
72,142,30	202,194,111	81,113,196	9,9,7
75,145,31	206,195,113	75,107,192	9,10,5
78,148,34	209,198,116	67,101,188	8,9,4
98,158,70	211,194,112	68,111,205	12,12,10
104,158,72	213,196,114	73,114,204	10,10,8
102,158,71	214,197,115	76,118,204	8,8,8
105,165,91	175,147,82	55,82,169	11,15,14
109,167,93	184,158,101	66,94,177	9,13,14
114,172,98	193,167,116	66,93,174	7,11,12
93,153,65	128,95,54	51,69,143	7,7,9
94,154,66	130,97,52	47,65,141	8,8,10
97,157,67	135,103,54	44,63,139	9,9,9
77,132,49	217,207,135	43,62,141	8,7,12
74,128,44	217,205,131	37,58,137	8,7,12
74,128,42	218,204,129	33,54,133	9,9,11
86,148,49	193,192,99	46,66,117	7,9,8
86,148,49	192,191,98	49,69,120	9,9,11
87,149,50	197,194,101	49,69,120	10,10,12
66,136,20	224,199,158	68,101,180	6,8,7
64,134,20	224,199,158	67,103,181	4,8,7
64,132,19	225,201,157	68,104,182	4,8,7
74,144,32	212,200,158	57,100,212	8,8,6
77,145,32	214,201,157	57,101,210	8,8,6
78,146,33	212,199,155	55,102,208	8,8,6
97,157,71	96,89,37	74,115,207	10,9,7
105,159,73	100,93,41	72,115,209	10,9,7
102,158,71	101,96,41	72,116,205	11,10,8
105,165,91	225,200,159	66,101,191	12,16,15
109,167,93	224,199,158	59,95,189	9,13,14
116,174,100	224,200,156	54,90,187	8,9,13
94,154,68	214,202,162	66,99,180	8,8,10
95,155,69	215,201,162	66,101,183	8,8,8
96,156,68	214,200,161	69,104,186	8,8,8
80,135,52	96,88,41	56,99,212	9,8,13
77,130,48	101,94,42	58,102,211	9,8,13
74,128,44	100,97,42	56,103,209	10,9,14
87,149,52	225,200,159	75,116,208	7,9,8
87,149,50	225,200,159	72,115,210	7,7,9
87,149,50	224,199,158	74,117,209	8,8,10
67,137,21	216,202,163	74,109,199	5,7,6
64,134,20	216,202,163	66,102,196	4,8,7
65,133,20	216,202,163	61,97,194	4,8,7
76,144,33	93,87,39	65,100,182	8,8,8
73,141,28	98,92,42	66,101,183	8,8,6
74,142,29	97,96,42	67,102,184	9,9,7
80,137,56	195,170,113	66,145,211	7,8,12
83,140,61	198,173,117	68,147,214	8,9,13
91,145,69	194,169,113	66,150,220	5,10,13
58,123,43	192,170,112	67,143,201	13,14,18
54,117,36	195,171,111	65,141,203	14,15,19
56,120,36	193,169,109	72,145,200	11,15,18
75,142,37	190,168,108	60,112,170	17,19,18
80,147,42	193,169,109	60,109,167	18,18,18
83,148,46	193,169,109	60,110,169	20,20,20
86,145,53	167,129,150	68,157,217	6,6,6
84,140,49	153,120,141	71,157,218	7,7,7
84,140,51	145,112,133	77,163,222	8,8,8
68,127,33	121,88,119	58,148,211	9,11,10
69,130,37	123,90,119	50,143,212	7,11,10
68,131,40	122,93,115	46,139,209	10,12,11
60,121,43	219,213,179	68,152,216	9,8,13
62,121,41	220,214,180	74,153,219	8,9,13
65,124,44	222,213,180	73,156,222	6,11,14
79,141,56	160,124,112	65,141,201	13,14,18
80,139,57	161,122,115	68,143,201	13,14,18
87,144,65	156,119,113	83,154,210	9,13,16
60,123,44	150,137,93	59,110,167	16,18,17
55,118,37	150,137,93	60,109,165	19,19,19
56,120,36	145,132,88	62,109,163	22,22,22
76,143,38	111,91,93	69,153,215	6,6,8
79,146,41	113,93,95	75,159,221	7,7,9
83,148,46	112,89,95	78,162,224	9,9,9
82,141,51	212,203,174	57,149,212	9,11,10
84,140,51	212,206,174	53,145,212	9,11,10
89,145,58	215,206,177	44,137,206	9,11,10
67,126,32	173,161,135	78,159,222	9,8,13
65,126,33	175,163,139	86,164,228	8,9,13
64,127,36	178,166,144	85,166,231	6,11,14
64,127,46	154,119,139	64,140,200	11,15,18
64,125,45	148,115,132	84,156,215	11,15,18
65,126,46	143,110,129	103,174,230	8,13,16
81,143,58	124,89,121	60,111,168	15,17,16
80,139,57	121,87,114	63,110,162	18,20,19
86,143,64	118,89,111	63,109,159	24,24,24
59,122,43	219,214,182	70,151,214	5,5,7
55,118,37	220,214,182	72,153,216	7,7,9
55,119,35	222,216,184	69,153,215	9,9,9
77,144,39	154,122,109	56,148,211	10,10,10
79,146,43	157,123,114	56,145,213	9,11,10
84,149,47	158,123,119	48,137,205	10,10,10
82,141,51	147,134,89	72,140,201	20,15,12
84,140,51	147,134,90	64,134,196	22,17,14
92,147,63	145,130,87	49,122,190	23,18,15
63,124,29	112,94,94	83,147,208	21,16,13
62,123,28	111,92,94	70,140,200	22,17,14
61,125,31	109,90,92	53,124,188	24,19,16
69,132,51	212,201,169	94,156,217	23,18,15
67,128,48	211,202,169	75,143,204	24,18,18
67,128,48	214,203,173	63,132,197	24,19,16
94,154,58	173,159,132	49,78,158	7,7,7
93,155,58	177,163,137	48,77,155	7,7,5
91,155,59	180,165,142	46,75,153	8,8,8
82,142,54	149,114,134	46,73,150	8,6,7
79,142,53	146,113,130	46,74,148	7,7,9
79,144,54	142,109,128	32,67,157	7,7,7
98,151,83	128,93,125	28,63,144	8,8,8
93,146,76	131,97,124	29,64,148	8,8,8
87,141,66	128,96,119	29,61,146	9,9,9
87,147,61	223,218,186	29,60,143	10,10,10
85,145,59	222,216,184	57,84,139	14,10,7
83,143,53	220,214,182	56,81,137	15,11,8
53,112,30	155,123,112	58,79,134	14,10,7
50,112,29	156,122,113	56,76,126	13,9,6
49,112,31	156,123,118	52,74,123	13,9,8
81,141,53	143,130,85	31,56,96	12,12,10
82,142,52	142,129,85	35,58,99	13,13,11
83,143,53	142,127,84	37,60,102	14,14,12
79,141,58	111,93,93	37,60,102	13,14,9
84,143,63	110,91,93	37,58,101	12,13,8
83,142,62	108,89,91	63,95,152	55,39,26
96,155,61	211,200,168	65,96,150	55,37,25
91,152,57	212,203,170	67,99,156	56,37,23
91,155,59	213,202,172	68,99,164	59,40,26
87,147,59	174,160,134	66,97,164	61,39,28
81,144,55	173,158,135	41,65,103	11,11,11
80,145,55	170,155,132	41,65,101	13,13,13
98,151,83	191,185,109	40,64,98	30,32,31
92,145,73	191,183,108	37,62,93	43,43,45
85,139,63	190,182,107	36,61,91	45,45,47
87,147,61	205,196,129	61,95,166	11,7,8
86,146,60	202,195,127	56,90,164	8,6,7
88,148,60	205,195,124	56,90,161	8,8,10
50,114,27	141,130,76	55,89,160	9,9,11
51,113,28	134,121,69	57,91,162	7,6,11
52,114,29	128,112,63	71,99,196	7,8,12
83,143,57	134,122,72	69,97,180	7,8,12
85,145,57	139,126,74	77,106,186	7,8,12
83,143,53	142,126,75	79,110,201	6,7,11
81,140,58	203,177,142	76,108,193	7,8,12
86,145,65	206,182,146	49,61,83	7,7,5
85,144,64	213,189,153	50,62,86	7,7,5
97,153,64	177,163,134	47,62,85	6,6,6
94,153,61	182,169,137	47,61,87	7,5,8
92,153,58	188,174,137	46,62,88	6,6,8
85,148,59	180,175,93	37,47,56	8,8,8
82,147,57	177,172,88	33,43,52	9,9,9
80,145,55	173,169,82	30,43,52	9,9,9
97,150,82	194,188,112	29,43,52	10,10,10
92,145,75	193,185,110	28,42,53	11,11,11
93,145,71	192,184,109	51,79,162	14,10,7
90,150,64	202,195,127	51,80,160	14,10,7
92,150,65	201,194,126	51,80,158	13,9,6
95,153,66	200,193,125	52,79,160	13,9,8
51,115,28	130,117,64	54,81,162	13,9,8
51,113,28	129,116,64	27,66,161	10,10,8
54,116,31	128,115,63	27,64,155	11,11,9
86,146,60	134,122,72	26,61,145	13,13,11
87,147,59	137,124,72	29,62,141	14,14,12
86,146,60	141,125,73	30,62,137	13,14,9
83,142,62	209,183,148	55,78,128	51,37,24
89,146,69	216,192,156	54,77,129	53,37,24
88,145,68	220,196,160	54,76,133	55,39,24
83,144,74	174,159,130	53,79,130	58,40,26
79,141,66	179,164,133	53,73,124	60,41,27
72,136,58	187,171,135	30,55,96	10,10,10
95,152,75	181,175,89	32,57,98	13,13,13
88,146,70	178,173,82	33,57,101	34,36,35
94,150,77	173,168,77	35,58,102	64,64,64
84,146,61	196,190,114	34,57,101	48,48,48
78,141,52	193,187,109	73,105,180	12,8,9
74,139,47	191,184,104	65,96,160	9,7,8
64,127,38	201,193,128	61,93,150	9,7,10
59,122,33	206,198,133	65,96,161	8,8,10
54,117,26	207,199,136	72,101,177	8,8,10
63,129,39	121,108,55	43,67,105	8,9,11
65,129,42	122,109,57	45,69,105	8,9,11
71,135,51	123,110,58	40,64,100	7,8,10
97,148,82	133,123,72	37,62,93	6,7,11
99,147,85	137,125,73	37,62,92	6,7,11
100,150,87	141,128,75	59,95,171	7,7,5
74,132,45	211,185,150	55,89,161	8,7,5
71,131,43	218,194,158	50,87,157	7,5,6
68,128,40	221,197,161	54,90,168	7,5,8
60,121,41	174,159,130	51,89,164	6,6,8
66,127,49	178,163,132	70,100,198	9,9,9
72,129,52	186,170,134	68,96,180	10,10,10
84,146,73	179,173,85	78,105,194	10,10,10
80,142,67	176,171,80	88,121,254	10,10,10
74,139,59	174,169,78	89,119,243	11,11,11
92,149,72	147,112,118	53,65,87	14,10,7
91,149,73	146,112,113	53,65,89	15,11,8
94,150,77	144,111,106	48,63,86	11,10,8
81,143,58	202,174,160	45,61,86	11,10,8
77,140,51	199,169,158	44,61,87	10,9,7
75,140,48	190,161,153	38,48,58	11,11,9
64,127,38	163,132,88	36,46,56	12,11,9
60,123,34	170,139,92	30,43,52	13,12,8
56,119,28	175,145,95	28,42,53	15,14,10
67,133,45	180,171,92	25,42,52	15,14,10
62,126,40	177,170,89	53,82,160	49,39,27
66,128,45	183,178,97	52,81,159	54,42,30
96,148,82	204,197,125	51,81,154	58,44,31
97,150,82	202,199,128	53,81,154	59,43,30
94,149,82	201,200,133	59,86,165	59,41,31
76,136,48	128,91,72	30,67,158	11,11,11
73,133,45	135,103,78	28,64,152	14,14,14
70,130,42	131,105,72	27,62,146	20,22,21
60,121,41	118,105,60	29,60,143	26,26,26
65,126,48	118,103,60	29,60,142	29,29,29
72,129,52	118,100,62	52,77,131	14,8,10
83,145,70	144,110,111	51,74,126	12,8,7
80,143,64	146,110,110	51,75,123	9,7,10
76,141,59	148,113,107	53,77,125	8,8,10
95,152,73	199,172,155	55,75,126	8,8,8
93,151,74	194,165,151	32,56,100	9,10,12
95,151,76	183,154,146	31,55,99	9,10,12
81,143,58	167,136,92	30,54,98	8,9,11
78,143,53	169,141,94	32,54,101	6,7,9
77,142,50	174,146,98	32,54,101	6,7,11
62,123,30	180,168,92	70,102,175	8,7,5
61,122,29	181,170,91	64,95,159	8,7,5
56,120,26	182,173,94	61,93,152	6,4,5
72,136,49	204,197,125	58,88,148	6,4,7
62,126,39	202,199,130	58,87,147	6,6,8
62,126,39	200,199,134	44,67,108	11,11,11
95,147,81	128,94,69	43,69,106	11,11,11
95,148,80	140,110,82	38,64,101	10,10,10
91,146,79	135,111,77	37,61,95	10,10,10
78,138,50	117,104,59	36,60,94	9,9,7
75,135,47	117,102,61	59,97,172	10,9,7
71,131,43	116,98,62	52,89,157	12,11,9
61,122,42	134,100,99	55,90,171	11,10,8
65,126,48	142,107,105	56,92,180	11,10,8
73,130,53	149,114,108	50,87,165	10,9,7
74,135,57	197,172,150	66,99,202	13,12,10
74,133,51	194,169,149	65,95,183	12,11,7
75,133,56	185,157,145	76,103,210	12,11,7
57,112,31	164,135,93	78,110,219	14,13,9
58,112,34	170,143,96	76,106,194	16,15,11
58,112,36	177,149,101	53,65,89	45,36,27
65,130,40	177,165,89	49,63,89	52,42,32
62,127,35	180,169,90	45,59,85	59,49,39
59,126,33	182,173,94	44,60,86	60,47,38
77,137,63	203,199,128	44,61,87	59,42,34
76,136,62	202,199,132	38,48,57	15,11,10
75,136,59	200,199,134	36,46,56	18,14,13
65,132,29	130,96,69	31,44,53	14,16,15
63,129,29	142,113,83	28,42,51	15,17,16
64,130,30	137,113,77	25,42,52	20,20,20
97,155,71	119,104,61	52,83,165	14,8,8
91,155,68	118,103,62	48,80,153	11,7,6
93,156,67	118,100,64	46,76,148	9,7,10
81,144,40	139,140,122	50,80,153	8,8,8
82,143,40	148,149,131	53,83,156	8,6,7
83,144,41	152,154,133	35,69,158	10,11,13
74,135,57	180,159,114	31,65,154	10,11,13
74,133,53	179,157,107	31,63,146	10,11,13
74,132,55	169,149,96	29,59,145	8,9,11
60,115,34	226,211,172	26,58,135	8,9,11
61,115,37	211,196,155	53,78,135	6,6,4
61,115,39	199,182,139	49,74,128	6,6,4
67,132,42	214,199,158	50,73,123	5,5,5
63,128,36	213,200,158	51,74,126	6,4,7
58,125,32	215,201,162	47,68,121	5,5,7
79,139,65	138,114,88	31,55,99	13,13,13
76,137,60	136,112,84	30,54,98	12,12,12
74,136,59	139,113,86	31,55,101	10,10,10
64,129,29	182,185,104	32,54,103	10,10,10
62,127,27	180,183,102	32,54,103	9,9,7
63,128,28	181,185,101	52,85,139	10,9,7
96,153,72	187,176,84	58,88,148	9,8,6
92,154,69	186,175,83	63,94,159	11,10,6
